Compounds.ID	Name	Tags	Formula	RT_min	Calc_MW
c4473	Oleamide		C18 H35 N O	16.787	281.27114
c4404			C46 H74 O14 S	5.712	882.47987
c2862				5.309	997.48611
c4702				8.212	1529.79697
c2023				5.396	2099.98721
c4041			C35 H48 O2 P2 S	4.4	594.28758
c4820			C33 H47 N O2 S3	4.973	585.27928
c119			C30 H49 N7 O9	3.804	651.35798
c254				6.669	2067.99931
c63			C60 H87 N4 O16 P	0.794	1150.58524
c4193			C35 H57 N8 O5 P	3.053	700.42198
c1906			C87 H114 N7 O11 P3	8.383	1525.77857
c283	Diprotin B		C16 H29 N3 O4	3.53	327.215
c904			C18 H46 N9 O5 P3	5.644	561.28272
c4376				4.369	1180.56267
c3076			C28 H46 N7 O4 P	6.002	575.33246
c2452			C19 H45 N10 O5 P	2.824	524.33106
c2411			C21 H39 N O8 P2	11.396	495.21417
c4271	Bis(2-ethylhexyl) terephthalate		C24 H38 O4	4.078	390.27635
c3363			C14 H37 N5 P2 S2	7.047	401.19766
c3926			C29 H55 N4 O12 P	9.172	682.35346
c2891			C30 H47 N2 O6 P	5.226	562.31666
c3964			C40 H83 N8 O17 P3	4.115	1040.50832
c2217				6.676	1815.89561
c3840			C22 H42 N2 O4 P2 S	4.685	492.23338
c4436			C35 H80 N10 O17 P2	5.383	974.5174
c1493			C46 H89 N6 O18 P3	7.704	1106.54292
c1920			C42 H72 N8 O17	4.974	960.50093
c1816	Prolylleucine		C11 H20 N2 O3	5.549	228.14609
c1804			C61 H112 N5 O17 P3	7.188	1279.7281
c3547			C28 H61 N9 O17	7.067	795.41771
c4303				7.66	1184.64537
c4170			C30 H66 N9 O12 P	7.104	775.45703
c2879			C57 H91 N10 O17 P S	3.907	1250.60319
c2780			C75 H108 N5 O15 P3 S	3.547	1443.67885
c2463	Arg-pro		C11 H21 N5 O3	0.794	271.16344
c382	"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide"		C14 H25 N O	8.548	223.19339
c330				15.079	1371.82405
c2942			C37 H68 N7 O3 P3	9.013	751.46235
c4047	Granisetron		C18 H24 N4 O	11.824	312.19166
c1946			C30 H70 N9 O14 P	4.502	811.4792
c3097			C26 H59 N6 O6 P3	7.415	644.37399
c4815				7.856	1247.65635
c586			C45 H68 N4 O15	8.291	904.46727
c805			C47 H82 N6 O9 P2	4.333	936.5622
c2044			C13 H29 N9 O2 S	5.357	375.21526
c3453			C23 H51 N7 O2 S	18.451	489.38453
c1952			C21 H44 N3 O9 P	4.304	513.27912
c148			C29 H41 N5 O5	8.254	539.30992
c3879	Marimastat		C15 H29 N3 O5	4.932	331.21009
c226				6.214	2067.99817
c685			C38 H71 N3 O13 P2 S	6.792	871.41971
c3005			C8 H20 N2 O3 S2	4.134	256.09136
c3479			C30 H50 N3 O2 P3	5.856	577.31017
c3090			C23 H50 N5 O9 P	9.015	571.33577
c3922			C34 H59 N2 O5 P3	5.811	668.36113
c3417			C28 H59 N9 O9 P2 S	5.644	759.36083
c3061			C34 H73 N3 O12 P2 S	4.455	809.43827
c3753			C34 H55 N10 O2 P S2	5.028	730.36758
c1027	NP-008993		C18 H34 O4	13.069	336.22658
c345			C16 H30 N6 O4	0.777	370.23172
c2716			C22 H39 N2 O6 P	6.546	458.25266
c3907				5.523	392.2049
c2501			C34 H49 N4 O2 P S	6.725	608.33173
c3838			C26 H53 O5 P3	5.438	538.31024
c1233	"N-({(1S,4S,6S)-6-Isopropyl-3-methyl-4-[2-oxo-2-(1-pyrrolidinyl)ethyl]-2-cyclohexen-1-yl}methyl)-4-methoxybenzenesulfonamide"		C24 H36 N2 O4 S	4.01	470.21365
c3665			C21 H52 N7 O9 P	4.379	577.35771
c133	Lokisin M+H+NH4 adduct	B	C66 H120 N10 O14 P2 S	15.115	1370.81857
c2858			C31 H56 N4 O17	3.803	756.36403
c4884				9.111	1594.90744
c562	"(2R,3R,4S,5S,6R)-2-{[(2E)-4-ethenyl-2,5-dimethylhexa-2,5-dien-1-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol"		C16 H26 O6	10.665	296.15948
c3028			C35 H57 N7 O2 P2 S2	5.965	733.34702
c3163			C28 H60 N7 O11 P3 S	12.459	795.32803
c1973			C46 H80 N8 O16	6.816	1000.56995
c1622			C34 H59 N3 O5 P2	6.911	651.39493
c3600				7.494	2019.0269
c2179			C14 H37 N8 O5 P	5.536	428.26291
c3069			C56 H98 N5 O15 P S	5.546	1143.65175
c3524			C68 H79 N5 O11	8.286	1141.57778
c3646				5.435	1123.56731
c3243				6.17	456.7503
c3503			C43 H42 N2 O	6.746	602.3322
c1456			C51 H69 N6 O7 P	6.106	908.49664
c546			C23 H36 N8 O3	5.985	472.28983
c3088			C17 H32 N2 O8	2.353	392.215
c3185			C36 H72 N9 O9 P3	7.131	867.46799
c4888			C30 H33 N2 P	0.798	452.23793
c4237				4.972	273.65007
c4737			C12 H34 N6 O3 P2 S	1.041	404.18926
c1488	Leucyltryptophan		C17 H23 N3 O3	5.324	317.17352
c4886			C18 H42 N9 O5 P	5.281	495.3048
c3291			C50 H94 N3 O17 P3	6.232	1101.57948
c229			C49 H74 N8 O10 P2	4.556	996.501
c976			C6 H15 N8 P S	0.799	262.08797
c4806				7.65	457.54955
c76			C32 H46 N6 O7	6.841	626.34225
c3804			C25 H48 N5 O3 P3	7.426	559.29872
c1737			C22 H53 N7 O5	16.638	495.41237
c1090			C19 H43 N10 O3 P3	7.188	552.27446
c952	Juvenimicin C		C29 H48 O10	5.17	556.32248
c3338			C22 H57 N10 O5 P S2	5.463	636.36658
c4239			C19 H30 N6 O4	3.921	406.23114
c1635	Reserpine		C33 H40 N2 O9	3.005	1216.53048
c715			C28 H46 N5 O9 P	2.972	627.30338
c1911			C24 H46 N3 O10 P	6.152	567.2897
c3595			C15 H39 N7 O10 S	0.801	509.24658
c4122			C87 H131 N4 O14 P3 S	8.309	1580.85942
c4087				5.205	1050.53657
c3917			C57 H91 N3 O13 P2	5.263	1087.60157
c1771			C40 H69 N6 O12 P	7.469	856.46974
c4780			C24 H46 N9 P3 S	4.459	585.27872
c1197				6.18	2099.98679
c3751	2-furyl[4-(1H-indol-4-yl)piperazino]methanone		C17 H17 N3 O2	6.029	590.2737
c4298	Methionylleucine		C11 H22 N2 O3 S	3.079	262.1346
c339	Santacruzamate A		C15 H22 N2 O3	5.262	278.16268
c3191			C13 H28 N6 O14	1.029	492.16805
c206			C35 H53 N3 O6 P2 S	5.216	705.31418
c2720			C13 H26 N7 O3 P	7.061	359.18378
c2132			C25 H54 N5 O8 P	3.391	583.36782
c4210			C74 H104 N9 O15 P3	4.523	1451.68667
c1728	Dibutyl phthalate		C16 H22 O4	15.176	278.15078
c224			C34 H42 N10 O3	7.492	638.34276
c3836			C11 H13 N7	4.09	243.12242
c1576				5.32	634.34647
c4175			C25 H34 N4 O5	6.98	470.2553
c3517	JWH-302		C22 H25 N O2	4.683	670.36401
c3500			C12 H18 N6	19.699	246.15939
c4507				7.124	1659.83181
c3465			C37 H50 N5 O6 P3	6.618	753.29871
c1028			C45 H102 N8 O18 P2 S	6.349	1136.65019
c3224			C32 H64 N5 O13 P3 S	13.16	851.34278
c4879			C39 H68 N2 O12	4.024	756.47409
c1976			C21 H53 N9 O15	0.793	671.36567
c2321			C20 H43 N10 O5 P	6.121	534.31642
c2033			C42 H80 N7 O15 P3	2.698	1015.49222
c1885			C58 H88 N6 O12 P2	5.31	1122.59373
c420				9.09	1649.90061
c4389				9.191	1466.85373
c1109			C47 H82 N4 O7 P2	6.198	876.56633
c3605			C51 H84 N10 O14 P2	6.442	1122.56325
c3514				4.347	486.24266
c582			C19 H47 N6 O8 P S	6.471	550.29064
c4038			C53 H86 N5 O6 P3 S	4.266	1013.55215
c2428			C14 H25 N O3 S	7.846	287.15521
c3121			C27 H58 N8 O6 P2	7.545	652.39356
c1393				6.245	974.55721
c4586			C25 H51 O13 P	5.488	590.30479
c1114	Not named		C25 H38 N4 O6	6.598	490.27846
c4577			C16 H40 N9 O6 P	3.618	485.28398
c841			C26 H42 N6 O6	5.085	534.31572
c2785			C42 H74 N9 O15 P	8.271	975.50468
c4812			C35 H52 O2 S	5.069	536.36736
c3655	Kojistatin A		C17 H32 N4 O5	4.661	372.23683
c2886			C30 H64 N4 O6 P2 S	3.52	670.39975
c4603	"N-{4-[(3R,4R,6R,7S,8R,9E,11E,13E,15R)-16-Carboxy-3,7,15-trihydroxy-4,6,8-trimethyl-9,11,13-hexadecatrienoyl]phenyl}-beta-D-glucopyranosylamine"		C32 H47 N O11	6.739	621.31803
c4275			C60 H72 O S3	0.791	904.47507
c1438			C54 H86 N8 O12 P2	6.735	1100.58374
c4190			C30 H36 N2 O3	6.497	472.27068
c4353			C66 H86 N6 O18	8.248	1250.59944
c792			C32 H70 N9 O15 P	5.085	851.4735
c3868			C44 H68 N9 O16 P	5.268	1009.45264
c4658			C58 H91 N7 O11 P2	9.109	1123.62497
c3366			C65 H106 N7 O15 P3	8.822	1317.69899
c1668	Streptocidin Q		C66 H92 N14 O12	7.485	1272.69919
c2563				0.789	646.35212
c3991			C13 H26 N4 O3	2.945	286.19978
c665			C32 H58 N4 O11	6.544	674.41063
c1158				7.084	2300.06564
c2740			C40 H68 N3 O10 P3	8.246	843.4113
c626			C87 H154 N9 O17 P3 S5	6.169	1849.92673
c2075			C46 H65 N3 O3	19.381	707.50327
c3460			C16 H33 N O5	10.676	319.23495
c4662			C28 H50 N8 O4 P2 S	5.84	656.31438
c3977				3.655	854.48378
c4795			C25 H62 N9 O12 P S	5.21	743.3997
c2770			C13 H36 N9 O4 P	0.791	413.26253
c1443	WF-14865A		C17 H27 N5 O4	1.543	365.20567
c311	Bis(2-ethylhexyl) phthalate		C24 H38 O4	18.015	390.27635
c4042			C35 H59 N3 O10 S2	5.703	745.36408
c2567			C16 H35 N O4	10.398	305.25625
c3691	Hexadecanamide		C16 H33 N O	16.648	255.25542
c404			C50 H87 N8 O18 P3	13.164	1180.53582
c3350			C56 H111 N2 O17 P3 S2	6.637	1240.65357
c1055				9.116	1593.81608
c2281			C33 H65 N8 O11 P	8.289	780.45108
c3041			C79 H87 N5 O7 P2	3.138	1279.6101
c1965			C16 H40 N9 O5 P S	4.287	501.26086
c4696			C12 H18 N3 O P S	0.805	283.09093
c4362				7.558	1444.68613
c2573				4.614	2236.12429
c2767			C30 H57 N4 O4 P3	1.025	630.35839
c2203			C50 H98 N10 O13 P2 S	8.292	1140.65081
c430			C45 H78 N8 O16 S	5.23	1018.52527
c4001			C19 H33 N5 O6	3.662	427.2419
c2923				5.195	1094.59912
c2559			C14 H34 N9 O7 P	8.288	471.23209
c4244				8.287	942.46317
c2011			C82 H109 N3 O15 P2	7.223	1437.73321
c514	Leuhistin		C11 H19 N3 O3	2.947	241.14209
c3604			C38 H71 N4 O9 P3	3.739	820.44344
c4792			C38 H82 N10 O11 P2 S	3.846	948.53604
c4547			C29 H60 N4 O14 P2	3.849	750.35761
c2730	SMTP-11L		C28 H39 N O6	11.958	485.27618
c1913				5.551	228.14593
c3186			C17 H43 N7 O10 P2 S	5.436	599.22826
c1432			C25 H37 N5 O6	5.659	503.27384
c3010			C45 H80 N3 O14 P S	5.203	949.51059
c4174			C20 H46 N10 O7 S	8.301	570.32524
c3679			C25 H49 N O10	5.588	523.33633
c436	"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one"		C16 H26 O4	10.396	282.18064
c2492			C39 H65 N4 O10 P S	5.249	812.41722
c3055			C15 H27 N8 O3 P	7.299	398.19561
c2050			C56 H87 N7 O9 P2	5.333	1063.60445
c3707			C17 H40 N9 O5 P	4.421	481.28891
c4119	Cyclocarbamide B		C15 H22 N2 O4	3.138	294.15727
c2408			C51 H95 N7 O16 P2	9.071	1123.62795
c2781	"2,19-dihydroxy-13,20-dimethoxy-4,7,17,22,22-pentamethyl-5,10,21,23-tetraoxahexacyclo[18.2.1.0Âa,Âaâ·.0â´,Âaâ¶.0â¶,Âaâ´.0â¸,ÂaÂ?]tricosa-6(14),7,12-trien-11-one"		C26 H34 O9	6.466	512.20683
c3921			C23 H42 N3 O4 P3	1.035	517.23815
c433				6.303	2083.9931
c4101			C49 H81 N O12 P2	4.655	937.52304
c344				6.732	1079.60444
c3261			C15 H38 N7 O8 P	3.429	475.25354
c1987			C27 H50 N3 O3 P S2	6.236	559.30305
c4497				5.673	892.50426
c1130				5.086	425.73689
c2926			C78 H114 N8 O17 P2 S	6.83	1528.74961
c946			C34 H45 N7 O S2	4.844	631.31452
c4363			C58 H109 N2 O17 P3	5.009	1198.69382
c2124			C16 H30 N4 O5	4.93	358.22118
c248				6.082	1936.96071
c4349			C22 H47 N7 O	17.246	425.38607
c806			C49 H67 N6 O7 P	5.276	882.47943
c2320				4.183	392.20428
c3369			C63 H103 N6 O3 P3 S4	7.589	1212.6199
c104				4.175	314.65811
c2472			C22 H52 N10 O P2 S	3.353	566.35246
c4579			C10 H28 N5 O5 P	5.156	329.18321
c4320			C15 H3 N4 O18 P3 S	5.941	651.83745
c4382	Benzyl 2-({[4-(carbamimidamidomethyl)cyclohexyl]carbonyl}oxy)benzoate		C23 H27 N3 O4	5.336	409.19939
c2257			C89 H141 N7 O17 P2 S3	7.053	1737.90086
c4661			C8 H24 N7 O4 P	5.211	313.16317
c2684			C47 H60 N10 O3 P2	5.572	874.43063
c402				6.305	2084.99601
c2131				3.011	2389.0986
c978			C49 H77 N9 O5 P2	5.697	933.55196
c4396				5.942	1303.67307
c4817				6.686	1978.94692
c1436			C59 H95 N9 O15 P2 S	3.515	1263.61521
c2295				5.558	1598.7936
c1404	Rhizomide B		C35 H53 N7 O11	5.847	747.38003
c4297			C9 H22 N7 O2 P	0.801	291.15741
c2036			C20 H30 N4 O4	6.242	390.22616
c1252			C19 H41 N O6 S2	2.985	443.23686
c2989			C47 H85 N4 O18 P	8.111	1024.56085
c1652			C47 H71 N6 O3 P3	10.674	860.47935
c214			C78 H134 N7 O17 P3 S	9.115	1565.87777
c563			C37 H73 N3 O10 P2 S	4.769	813.44798
c1332			C24 H38 N8 O7	3.102	550.28438
c3639			C28 H66 N10 O5 P2 S	3.75	716.44188
c1510			C66 H119 N6 O18 P3	8.249	1376.77957
c3402	(Z)-N-{(2R)-1-Hydroxy-2-[(Z)-{(2S)-1-hydroxy-2-[(Z)-{hydroxy[(2R)-1-(D-tyrosyl)-2-pyrrolidinyl]methylene}amino]-3-phenylpropylidene}amino]-3-methylbutylidene}-L-alpha-glutamyl-L-proline		C38 H50 N6 O10	3.573	750.35829
c4290			C25 H51 N4 O12 P	0.798	630.32239
c3821			C25 H36 N6 O5	4.196	500.27379
c3438			C26 H59 N9 O2 P2 S2	4.934	655.37284
c3302				7.08	1509.86252
c1616			C50 H84 N10 O18	4.64	1112.59749
c1637				7.945	1896.07427
c1572			C23 H47 N9 O11 S	6.959	657.31313
c3861			C53 H112 N8 O17 P2 S	5.017	1226.73491
c583			C18 H34 N4 O5 S	5.207	418.22457
c4184			C45 H67 N10 O16 P	4.556	1034.44689
c2378			C26 H59 N10 O9 P	5.509	686.42068
c509			C71 H82 N4 O10	7.095	1150.60364
c3309			C25 H59 N9 O6 P2	7.584	643.40447
c2612			C75 H98 N9 P3	7.107	1217.71536
c722			C27 H49 N O6 P2 S	3.621	577.27706
c2968			C71 H114 N6 O17 P2	8.241	1384.77133
c4392			C29 H46 N2 O10	0.793	582.31485
c2674			C52 H81 N5 O15 S	6.529	1047.54475
c2711			C59 H90 N8 O14	10.677	1134.65691
c1586			C47 H74 N9 O7 P3	7.41	969.49339
c3627			C79 H103 N3 O13 P2	3.528	1363.6967
c2165			C15 H29 N O4 S	8.139	319.18149
c2424			C33 H63 N6 O10 P	4.455	734.43136
c71			C16 H29 N3 O4 S	4.627	359.187
c960			C23 H40 N3 O7 P	4.908	501.25797
c905				5.048	1949.95787
c872	"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide"		C14 H25 N O	8.846	223.19394
c2159			C58 H100 N7 O11 P3 S2	6.325	1227.61319
c2400			C32 H72 N8 O14 P2	6.297	854.46341
c4716			C12 H33 N8 O4 P	3.793	384.23638
c814			C42 H63 N6 O7 P S	6.126	826.42129
c4505			C8 H21 N6 O2 P	5.533	264.14656
c2985	Indole-3-acetyl-epsilon-L-lysine		C16 H21 N3 O3	4.504	303.15787
c1831			C54 H88 N3 O17 P3	7.697	1143.5324
c3013			C26 H64 N10 O12 P2	5.428	770.4159
c2525	"(4aS,9aR)-7-Benzyl-2-[(4-methoxyphenyl)acetyl]decahydro-6H-pyrido[3,4-d]azepin-6-one"		C25 H30 N2 O3	3.525	812.437
c592				6.185	1952.95331
c656			C18 H43 Cl N8 O2	0.788	438.32115
c1485				5.137	504.72624
c3621			C37 H81 N6 O13 P3 S	8.348	942.48023
c3016			C27 H48 N3 O8 P	6.879	573.31953
c1475			C16 H31 N8 O4 P	6.345	430.2227
c3536	unknown Lok MF	B	C74 H113 N5 O16 P2	15.632	1389.76383
c3178			C60 H98 N10 O6 P2 S2	6.705	1180.65844
c3522				0.792	467.21773
c2893			C19 H24 N4 O6	4.226	404.16887
c1692			C31 H53 N6 O9 P	7.587	684.35845
c2617			C43 H94 N9 O15 P3 S	6.232	1101.57967
c3529			C33 H62 N6 O6 P2	4.942	700.41842
c4021			C26 H58 N8 O15	5	722.3995
c1694				4.172	632.3197
c3575			C23 H53 N5 O9	10.388	543.38266
c4446			C24 H52 N8 O9	7.086	596.38744
c3474	2'-O-Methyladenosine		C11 H15 N5 O4	1.59	281.11178
c429				5.576	1380.70462
c3170			C45 H92 N3 O16 P3	4.372	1023.5698
c1254			C19 H39 N8 O4 P	7.137	474.28389
c445			C56 H81 N10 O11 P	6.447	1100.58239
c4192			C8 H28 N7 P3	0.808	315.16124
c2585			C28 H47 Cl N10 O5	7.219	638.34252
c884	"6,8-Tricosanedione"		C23 H44 O2	17.251	352.33344
c3645			C24 H55 N4 O7 P	10.386	542.37981
c3537			C13 H27 N8 O4 P	3.814	390.1898
c2941			C36 H50 N8 O7	5.441	706.38204
c2413			C42 H70 N7 O3 P S3	6.496	847.44328
c4525	glycyclamide		C14 H20 N2 O3 S	4.617	296.11918
c1167				6.178	2100.98959
c3024			C22 H32 N4 O6	3.333	448.23092
c852			C28 H54 N5 O10 P	4.884	651.35868
c838				6.67	2036.02826
c4151	"(20Z)-20-Nonacosene-2,4-dione"		C29 H54 O2	18	434.41183
c3816			C72 H86 N4 O4 P2	7.236	1132.61361
c2418			C64 H99 N8 O14 P3 S	7.597	1328.62272
c3336			C20 H47 N7 O9 S	6.118	561.31474
c3680			C32 H51 N7 O10	4.86	693.36909
c1346	NP-004917		C15 H26 O3	14.83	276.17187
c3791				5.258	504.72638
c756			C42 H64 N3 O11 P	13.165	817.42641
c4687				7.557	592.32115
c1693	unknown Lok MF	B		15.117	2762.50803
c3100				3.816	870.49479
c3250			C19 H35 N3 O9	3.717	449.23653
c2756				7.489	1962.00602
c454			C25 H41 N5 O7	3.691	523.2997
c3381			C32 H63 O9 P3	5.871	684.36589
c3772			C52 H84 N9 O10 P3	6.076	1087.55549
c2441			C24 H43 N5 O6	5.566	497.32004
c1411				9.536	2102.17362
c3831				5.035	842.46155
c4765			C24 H58 N10 O10 P2	5.82	708.37966
c3842			C54 H105 N2 O18 P3 S2	5.602	1226.6012
c3803			C18 H39 N8 O5 P3	3.366	540.22716
c468			C62 H94 N7 O8 P3	6.128	1157.63797
c1339			C48 H91 N6 O15 P3 S	6.451	1116.54861
c3442				8.355	888.97394
c1370			C55 H93 N7 O14 P2	5.442	1137.6269
c4445			C43 H60 N9 O5 P	5.523	813.44746
c3913			C13 H31 N9 P2	4.959	375.2181
c1437			C55 H92 N8 O18	6.595	1152.65328
c44			C20 H36 N4 O6 S	5.148	460.23482
c4343			C32 H53 N5 O6 P2 S	5.109	697.31589
c3019			C31 H65 N8 O11 P3	5.339	818.39884
c4218	Nodulisporic acid A1		C43 H53 N O7	6.269	695.38048
c95			C81 H120 N9 O12 P3	7.194	1503.82786
c4036			C69 H97 N2 O16 P S	3.332	1272.62954
c2957				9.621	2527.40062
c3794			C38 H75 N2 O15 P3	3.031	892.43788
c3131	"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide"		C14 H25 N O	7.609	223.1932
c3096	Cyclocarbamide B		C15 H22 N2 O4	3.301	294.1572
c2993			C57 H88 N7 O4 P S2	5.547	1029.60772
c4601			C23 H44 O2 P2 S	6.717	446.25206
c3935	"(6Z,9Z,21R,27S)-24,27,30,30-Tetrahydroxy-24,30-dioxido-18-oxo-19,23,25,29-tetraoxa-24lambda~5~,30lambda~5~-diphosphatriaconta-6,9-dien-21-yl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate"		C46 H76 O13 P2	3.714	898.47342
c4576				6.715	1959.84507
c4209			C22 H57 N9 O16 P2	4.263	765.34154
c819			C30 H42 N6 O10	5.474	646.29485
c2453			C19 H29 N3 O5	5.651	379.21027
c2742			C44 H77 N8 O13 P3	4.558	1018.48326
c3494			C50 H104 N5 O14 P3 S2	5.43	1155.62418
c1132			C47 H62 N5 O8 P	5.518	855.43193
c1222			C16 H41 N10 O5 P S	1.164	516.27134
c2199	Maniwamycin F		C11 H21 N3 O3	4.904	243.15787
c3954			C42 H58 N7 O5 P3	7.92	833.36986
c2201			C27 H50 O3	17.528	422.37537
c2438			C35 H49 N7 O4 S2	4.103	695.32591
c3946			C22 H51 N6 O3 P3	4.044	540.32551
c833			C29 H46 N10 O6	0.691	630.35918
c1861			C24 H51 N9 O10	0.796	625.37783
c4656			C74 H124 N6 O17 P2	7.929	1430.84983
c2015				5.359	948.42676
c4013			C60 H77 N6 O7 P	8.391	1024.55852
c1585			C40 H70 N5 O7 P3	5.364	825.44866
c101	Bis(methylbenzylidene)sorbitol		C22 H26 O6	12.47	386.17209
c3172			C80 H93 N6 O9 P	6.589	1312.67537
c2801			C25 H41 N5 O5	9.013	491.30982
c4491			C60 H99 N6 O16 P3	4.645	1252.63349
c3596			C33 H45 N8 O P S	5.193	632.31852
c2877			C38 H75 N6 O16 P	5.134	902.49684
c234			C66 H95 N5 O14 P2	5.412	1243.63519
c2042				5.453	531.27269
c387			C43 H67 N8 O4 P3 S	4.712	884.4214
c2166			C45 H43 Cl2 N3 O S2	17.68	775.22331
c1908				6.433	2086.99765
c897			C22 H48 N3 O7 P	6.401	497.32099
c3301			C20 H41 N O8	4.336	423.2838
c3215			C57 H93 N9 O11 P2 S4	6.487	1269.53579
c3056			C49 H93 N9 O14 P2 S2	7.658	1157.57493
c646	Benzyl butyl phthalate		C19 H20 O4	15.03	312.13514
c3950			C29 H42 N3 O3 P S	8.602	543.26906
c10	Lokisin	A;B	C64 H111 N11 O20	15.114	1353.79464
c1764			C14 H37 N8 O4 P	5.911	412.26853
c3378			C73 H83 N3 O2 P2	7.916	1095.59698
c982			C20 H30 N4 O4	4.509	390.22576
c3719			C24 H55 N10 O3 P3 S	6.588	656.33772
c2880			C47 H99 N9 O13 P2 S	5.404	1091.65648
c1298			C27 H54 N5 O9 P	7.854	623.36385
c3374			C57 H100 N7 O16 P3	4.762	1231.64407
c4720			C79 H101 N4 O16 P	4.973	1392.69521
c4348			C64 H95 N7 O12 P2	6.5	1215.65195
c1422	DAMGO		C26 H35 N5 O6	5.082	513.25804
c830			C11 H21 N5 O2	0.789	255.16898
c4543				5.901	532.20542
c4551			C44 H94 N7 O14 P3 S	4.923	1069.57895
c620			C31 H49 N9 O4 P2 S	4.155	705.31353
c3725			C18 H22 N4 O6	4.019	390.15332
c4452				5.948	1302.67539
c277	Santacruzamate A		C15 H22 N2 O3	5.156	278.16197
c4191				8.483	1270.66401
c360				6.084	2084.99733
c1675	Zeatin-7-N-glucoside		C16 H23 N5 O6	4.846	381.16907
c3219			C29 H53 O8 P S	10.676	592.31884
c1379			C27 H39 N5 O6	5.896	529.28984
c2167	Lobophorin B		C61 H90 N2 O21	7.602	1186.59803
c1981			C15 H25 N3 O6	8.291	343.1735
c2178			C9 H26 N9 O P	0.79	307.19844
c2238	Leucyl-leucyl-norleucine		C18 H35 N3 O4	6.377	357.26246
c1075	"1-[(2R,4S,5R)-5-(3-Cyclohexyl-1-methyl-1H-pyrazol-5-yl)-1-azabicyclo[2.2.2]oct-2-yl]-N-(4-methoxybenzyl)methanamine"		C26 H38 N4 O	5.87	460.26545
c2692			C30 H53 N4 O8 P	6.311	628.35734
c4560			C22 H44 N2 O12	4.554	528.2896
c3538	Ceramide (d18:1/12:0)		C30 H59 N O3	18.359	481.44914
c3570			C30 H56 O3	18.351	464.42284
c1963			C72 H110 N7 O16 P S	15.12	1391.74734
c3721				7.142	361.69679
c2299			C30 H42 N7 O5 P	7.413	611.29613
c3426			C22 H53 N7 O7 P2	6.647	589.3465
c1415			C58 H77 N3 O P2 S2	4.898	957.4983
c2286				9.953	2626.46646
c3718			C23 H50 N O6 P S2	5.149	531.27982
c2690	Nostopeptolide A2		C52 H78 N10 O14	5.266	1066.5677
c3331			C26 H35 N9 O2	3.646	505.28913
c4045	7'-Methoxy NABUTIE		C25 H25 N O2	5.677	742.36795
c585			C49 H97 N6 O16 P3 S	3.933	1150.58843
c3130	Banegasine		C11 H12 N2 O2	3.371	204.08946
c837			C37 H64 N4 O7 P2	4.832	738.42639
c920			C40 H68 N4 O14 S	6.341	860.44568
c3094			C22 H41 N5 O5	3.475	455.30969
c4188			C56 H97 N3 O14 P2	6.012	1097.64476
c4232			C26 H39 N10 O4 P S	4.201	618.26315
c4581			C42 H64 N3 O7 P	8.15	753.44811
c2372			C43 H94 N9 O15 P3 S	6.231	1101.58016
c197	leu-his		C12 H20 N4 O3	0.802	268.15279
c198	Desmethylmianserin		C17 H18 N2	0.803	250.14229
c811	PPK		C16 H28 N4 O4	3.297	680.42054
c4826			C34 H68 N7 O11 P3 S	6.286	875.39043
c3768			C51 H95 N6 O15 P3	5.546	1124.60795
c2789	Natalenamide A		C19 H25 N3 O5	3.569	375.17895
c3626			C35 H71 N8 O13 P	5.195	842.48814
c520			C43 H77 N7 O18	6.17	979.53249
c4644			C20 H44 N5 O7 P	4.483	497.29534
c3987			C26 H48 N6 O2 S2	6.22	540.32605
c456			C17 H43 N10 O10 P	7.521	578.28706
c2542	7'-Methoxy NABUTIE		C25 H25 N O2	5.674	371.1842
c225				6.214	2069.00076
c2688				4.461	1862.9559
c3483			C18 H36 O5 S2	5.11	396.20014
c3450			C63 H115 N6 O18 P S5	4.86	1434.66027
c1091			C13 H29 N9 O3 S	4.153	391.20972
c2934			C15 H29 N3 O4	4.963	315.21539
c3115	"1-{[[(3-Methoxypropyl)imino](methylthio)methyl]amino}-2,4,5-trimethylbenzene"		C15 H24 N2 O S	10.716	280.16472
c3624			C44 H55 N6 O6 P	4.493	794.39051
c1433			C10 H22 N4 O5	5.036	278.16046
c3786				4.249	391.20989
c2355	"2-{5-[(2S)-1-(1H-Imidazol-2-ylmethyl)-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}-4-(2-methoxyethoxy)pyridine"		C18 H22 N6 O3	8.967	784.30996
c1921			C48 H84 N10 O15 P2 S	6.173	1134.5307
c708				9.931	2201.24014
c2590			C20 H29 N3 O5	4.25	391.20931
c3744	(-)-Erythromycin		C37 H67 N O13	5.342	771.41156
c4344			C18 H43 N9 O P2 S	4.045	495.2794
c4208			C20 H38 O4 S2	17.701	406.22033
c1372	Celestolide		C17 H24 O	3.448	244.17822
c440			C24 H34 N4 O7	5.718	490.24272
c1745			C16 H30 N6 O4	2.989	370.23206
c588			C54 H99 N9 O10 P2 S	5.417	1127.66997
